ID,Full Name,Gender,Age,State,Job Classification,Date Joined,Balance,marital,education,houseloan,otherloan,contact,duration,campaign,poutcome,y,Customer ID
1,Christy  Olson,Male,21,California,White Collar,05.Jan.2017,"$169,864.42 ",married,primary,no,no,cellular,79,1,unknown,no,A01
2,Dan  Peterson,Female,34,Oregon,Blue Collar,06.Jan.2017,"$55,102.60 ",married,secondary,yes,yes,cellular,220,1,failure,no,A02
3,Mable  Lindsey,Male,46,California,White Collar,07.Jan.2017,"$151,546.03 ",single,tertiary,yes,no,cellular,185,1,failure,no,A03
4,Kyle  Carr,Male,32,Wyoming,White Collar,08.Jan.2017,"$2,120.19 ",married,tertiary,yes,yes,unknown,199,4,unknown,no,A04
5,Rachel  Gomez,Female,38,California,Blue Collar,09.Jan.2017,"$53,192.24 ",married,secondary,yes,no,unknown,226,1,unknown,no,A05
6,Isabel  Cross,Female,30,Wyoming,Blue Collar,09.Jan.2017,"$182,750.42 ",single,tertiary,no,no,cellular,141,2,failure,no,A06
7,Billie  Chandler,Female,34,California,Blue Collar,11.Jan.2017,"$63,998.28 ",married,tertiary,yes,no,cellular,341,1,other,no,A07
8,Sylvester  Morales,Female,48,Nevada,Other,11.Jan.2017,"$54,745.04 ",married,secondary,yes,no,cellular,151,2,unknown,no,A08
9,Rachel  Gomez,Female,33,Wyoming,White Collar,11.Jan.2017,"$110,870.69 ",married,tertiary,yes,no,unknown,57,2,unknown,no,A09
10,Beth  Tucker,Male,42,California,White Collar,12.Jan.2017,"$16,285.76 ",married,primary,yes,yes,cellular,313,1,failure,no,A010
11,Shari  Silva,Male,40,California,White Collar,12.Jan.2017,"$59,204.24 ",married,secondary,yes,no,unknown,273,1,unknown,no,A011
12,Drew  Rogers,Male,39,California,White Collar,12.Jan.2017,"$48,180.04 ",married,secondary,yes,no,cellular,113,2,unknown,no,A012
13,Arturo  Francis,Male,24,California,White Collar,12.Jan.2017,"$60,866.63 ",married,tertiary,no,no,cellular,328,2,unknown,no,A013
14,Mable  Lindsey,Male,46,Nevada,Other,12.Jan.2017,"$72,821.60 ",single,secondary,no,no,cellular,261,1,unknown,yes,A014
15,Shari  Silva,Female,36,Wyoming,Other,12.Jan.2017,"$4,246.33 ",married,secondary,yes,yes,cellular,89,1,failure,no,A015
16,Rachel  Gomez,Male,42,California,White Collar,14.Jan.2017,"$3,158.00 ",married,tertiary,no,yes,cellular,189,2,unknown,no,A016
17,Jenny  Garcia,Female,31,Nevada,Other,14.Jan.2017,"$15,455.70 ",married,secondary,no,no,cellular,239,5,unknown,no,A017
18,Colleen  Warren,Female,42,Nevada,Other,14.Jan.2017,"$5,672.69 ",single,tertiary,yes,no,cellular,114,1,failure,no,A018
19,Pauline  Beck,Male,40,California,Blue Collar,15.Jan.2017,"$97,811.49 ",single,primary,yes,no,unknown,250,1,unknown,no,A019
20,Shari  Silva,Female,46,California,Blue Collar,15.Jan.2017,"$17,106.94 ",married,secondary,no,no,cellular,148,1,other,no,A020
21,Jenny  Garcia,Male,37,Wyoming,Other,16.Jan.2017,"$47,429.72 ",divorced,unknown,yes,no,cellular,96,2,unknown,no,A021
22,Ben  Perez,Male,58,Nevada,Blue Collar,18.Jan.2017,"$31,719.37 ",divorced,tertiary,no,no,cellular,140,3,unknown,no,A022
23,Cassandra  Franklin,Female,41,Wyoming,White Collar,18.Jan.2017,"$99,678.79 ",single,secondary,no,no,unknown,109,2,unknown,no,A023
24,Elaine  Ellis,Male,52,Nevada,Blue Collar,19.Jan.2017,"$9,820.63 ",married,secondary,no,no,cellular,125,2,unknown,no,A024
25,Beth  Tucker,Female,38,California,White Collar,20.Jan.2017,"$30,603.48 ",married,tertiary,no,no,cellular,169,3,unknown,no,A025
26,Cassandra  Franklin,Male,55,Nevada,Blue Collar,21.Jan.2017,"$64,549.66 ",married,tertiary,no,no,cellular,182,2,unknown,no,A026
27,Colleen  Warren,Female,37,Oregon,White Collar,23.Jan.2017,"$5,919.72 ",married,primary,yes,no,unknown,247,1,unknown,no,A027
28,Cassandra  Franklin,Female,33,California,White Collar,25.Jan.2017,"$5,115.78 ",married,unknown,no,no,telephone,119,1,failure,no,A028
29,Cassandra  Franklin,Male,50,Nevada,Blue Collar,25.Jan.2017,"$30,619.57 ",married,secondary,no,yes,cellular,149,2,unknown,no,A029
30,Nellie  Joseph,Male,42,California,White Collar,27.Jan.2017,"$16,138.57 ",married,secondary,no,yes,cellular,74,2,unknown,no,A030
